step,time,channel,effective_output,inst_dominance,smooth_dominance,winner,delta
80,1770939745.188438,D1,0.480678498,0.420056587,0.277052073,D2,0.104202520
80,1770939745.188438,D2,0.663639940,0.579943413,0.381254593,D2,0.104202520
81,1770939745.232353,D1,0.480773321,0.419864234,0.278956235,D2,0.104950107
81,1770939745.232353,D2,0.664295208,0.580135766,0.383906342,D2,0.104950107
82,1770939745.269265,D1,0.481129417,0.419845051,0.280834752,D2,0.105688238
82,1770939745.269265,D2,0.664839593,0.580154949,0.386522990,D2,0.105688238
83,1770939745.305610,D1,0.481467931,0.419776370,0.282687307,D2,0.106418358
83,1770939745.305610,D2,0.665494989,0.580223630,0.389105665,D2,0.106418358
84,1770939745.338956,D1,0.481912631,0.419856598,0.284516231,D2,0.107136604
84,1770939745.338956,D2,0.665890294,0.580143402,0.391652835,D2,0.107136604
85,1770939745.368364,D1,0.482196677,0.419841471,0.286320568,D2,0.107845677
85,1770939745.368364,D2,0.666324158,0.580158529,0.394166244,D2,0.107845677
86,1770939745.403852,D1,0.482643200,0.420009919,0.288103092,D2,0.108540803
86,1770939745.403852,D2,0.666480138,0.579990081,0.396643895,D2,0.108540803
87,1770939745.440257,D1,0.482953142,0.420001475,0.289861737,D2,0.109226886
87,1770939745.440257,D2,0.666931254,0.579998525,0.399088624,D2,0.109226886
88,1770939745.476859,D1,0.483220166,0.419995080,0.291596849,D2,0.109903992
88,1770939745.476859,D2,0.667317517,0.580004920,0.401500841,D2,0.109903992
89,1770939745.510032,D1,0.483465931,0.420015225,0.293309094,D2,0.110571533
89,1770939745.510032,D2,0.667601700,0.579984775,0.403880627,D2,0.110571533
90,1770939745.539253,D1,0.483793924,0.420096168,0.294999588,D2,0.111228015
90,1770939745.539253,D2,0.667832682,0.579903832,0.406227603,D2,0.111228015
91,1770939745.579784,D1,0.484106057,0.420019301,0.296666517,D2,0.111877793
91,1770939745.579784,D2,0.668474446,0.579980699,0.408544311,D2,0.111877793
92,1770939745.615106,D1,0.484266501,0.419978359,0.298310675,D2,0.112520000
92,1770939745.615106,D2,0.668808391,0.580021641,0.410830675,D2,0.112520000
93,1770939745.651434,D1,0.484660537,0.419993511,0.299933113,D2,0.113153240
93,1770939745.651434,D2,0.669310951,0.580006489,0.413086353,D2,0.113153240
94,1770939745.687332,D1,0.484884668,0.419862073,0.301532166,D2,0.113781541
94,1770939745.687332,D2,0.669981893,0.580137927,0.415313707,D2,0.113781541
95,1770939745.722775,D1,0.485119537,0.419805014,0.303109137,D2,0.114402987
95,1770939745.722775,D2,0.670463463,0.580194986,0.417512124,D2,0.114402987
96,1770939745.757896,D1,0.485548253,0.419833608,0.304665464,D2,0.115015384
96,1770939745.757896,D2,0.670977200,0.580166392,0.419680848,D2,0.115015384
97,1770939745.793366,D1,0.485813710,0.419759196,0.306200047,D2,0.115621600
97,1770939745.793366,D2,0.671549164,0.580240804,0.421821647,D2,0.115621600
98,1770939745.829035,D1,0.486174785,0.419821242,0.307714996,D2,0.116218079
98,1770939745.829035,D2,0.671877110,0.580178758,0.423933075,D2,0.116218079
99,1770939745.864699,D1,0.486402918,0.419821600,0.309209751,D2,0.116806596
99,1770939745.864699,D2,0.672191396,0.580178400,0.426016346,D2,0.116806596
100,1770939745.900352,D1,0.486618706,0.419724587,0.310683282,D2,0.117389852
100,1770939745.900352,D2,0.672757516,0.580275413,0.428073134,D2,0.117389852
101,1770939745.941674,D1,0.487005231,0.419840441,0.312138711,D2,0.117962242
101,1770939745.941674,D2,0.672971712,0.580159559,0.430100953,D2,0.117962242
102,1770939745.970124,D1,0.487238228,0.419792172,0.313574090,D2,0.118528288
102,1770939745.970124,D2,0.673427121,0.580207828,0.432102378,D2,0.118528288
103,1770939745.999145,D1,0.487549817,0.419756954,0.314989862,D2,0.119087725
103,1770939745.999145,D2,0.673955221,0.580243046,0.434077587,D2,0.119087725
104,1770939746.027643,D1,0.487885153,0.419737437,0.316386496,D2,0.119640224
104,1770939746.027643,D2,0.674472811,0.580262563,0.436026720,D2,0.119640224
105,1770939746.057781,D1,0.488366089,0.419783004,0.317765116,D2,0.120184141
105,1770939746.057781,D2,0.675011382,0.580216996,0.437949257,D2,0.120184141
106,1770939746.092632,D1,0.488606846,0.419654328,0.319123639,D2,0.120724237
106,1770939746.092632,D2,0.675701045,0.580345672,0.439847876,D2,0.120724237
107,1770939746.130029,D1,0.488819717,0.419612609,0.320463492,D2,0.121258244
107,1770939746.130029,D2,0.676111237,0.580387391,0.441721736,D2,0.121258244
108,1770939746.165411,D1,0.489222686,0.419616176,0.321785528,D2,0.121785036
108,1770939746.165411,D2,0.676658693,0.580383824,0.443570564,D2,0.121785036
109,1770939746.201361,D1,0.489542304,0.419627436,0.323090086,D2,0.122304504
109,1770939746.201361,D2,0.677069461,0.580372564,0.445394590,D2,0.122304504
110,1770939746.237859,D1,0.489866944,0.419588527,0.324376732,D2,0.122818083
110,1770939746.237859,D2,0.677626713,0.580411473,0.447194815,D2,0.122818083
111,1770939746.278421,D1,0.490124862,0.419587474,0.325646209,D2,0.123324843
111,1770939746.278421,D2,0.677986419,0.580412526,0.448971052,D2,0.123324843
112,1770939746.308179,D1,0.490429546,0.419560727,0.326898402,D2,0.123825559
112,1770939746.308179,D2,0.678482400,0.580439273,0.450723961,D2,0.123825559
113,1770939746.336579,D1,0.490772696,0.419438888,0.328132275,D2,0.124322848
113,1770939746.336579,D2,0.679296915,0.580561112,0.452455123,D2,0.124322848
114,1770939746.365063,D1,0.491012286,0.419361342,0.329348663,D2,0.124815574
114,1770939746.365063,D2,0.679845008,0.580638658,0.454164237,D2,0.124815574
115,1770939746.393720,D1,0.491357862,0.419342551,0.330548582,D2,0.125302232
115,1770939746.393720,D2,0.680375987,0.580657449,0.455850813,D2,0.125302232
116,1770939746.422512,D1,0.491536328,0.419297921,0.331731906,D2,0.125783591
